Year,Product label,Exported Value
2003,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.12529549742257395
2004,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.0
2005,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.13742906149253548
2006,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.19731271392483313
2007,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.324360922273276
2008,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.40832426758716506
2009,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.26785033944907805
2010,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.24129420603189616
2011,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.3370292506108859
2012,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.34793033222708275
2013,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.40212972355977045
2014,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.4314973858519277
2015,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.4666831915710747
2016,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.588886389752111
2017,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.6576315221732085
2018,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.6954169401691355
2019,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.5825732642347516
2020,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.6109739136022914
2021,"Fish and crustaceans, molluscs and other aquatic invertebrates",1.0
2022,"Fish and crustaceans, molluscs and other aquatic invertebrates",0.8719319908378584
